Title,Author,Genre,Date,Ethnicity
Medea,Euripides,play,431 BC,Greek
The Odyssey,Homer,epic poem,(no date),Greek
Antigone,Sophocles,play,441 BC,Greek
Oedipus Rex,Sophocles,play,429 BC,Greek
Don Quixote,Miguel de Cervantes,novel,1605,Spanish
Tom Jones,Henry Fielding,novel,1749,English
As You Like It,Shakespeare,play,1623,English
Julius Caesar,Shakespeare,play,1599,English
King Lear,Shakespeare,play,1606,English
A Midsummer Night’s Dream,Shakespeare,play,1605,English
The Merchant of Venice,Shakespeare,play,1605,English
Othello,Shakespeare,play,1604,English
The Tempest,Shakespeare,play,1611,English
Candide,Voltaire,novel,1759,French
Emma,Jane Austen,novel,1815,English
Mansfield Park,Jane Austen,novel,1814,English
Pride and Prejudice,Jane Austen,novel,1813,English
Jane Eyre,Charlotte Bronte,novel,1847,English
Wuthering Heights,Emily Bronte,novel,1847,English
The Awakening,Kate Chopin,novel,1899,American
The Red Badge of Courage,Stephen Crane,novel,1895,American
Bleak House,Charles Dickens,novel,1853,English
David Copperfield,Charles Dickens,novel,1850,English
Great Expectations,Charles Dickens,novel,1861,English
Oliver Twist,Charles Dickens,novel,1837,English
A Tale of Two Cities,Charles Dickens,novel,1859,English
Crime and Punishment,Fyodor Dostoyevsky,novel,1866,Russian
Madame Bovary,Gustave Flaubert,novel,1856,French
Jude the Obscure,Thomas Hardy,novel,1895,English
The Mayor of Casterbridge,Thomas Hardy,novel,1886,English
Tess of the d’Urbervilles,Thomas Hardy,novel,1891,English
The Scarlet Letter,Nathaniel Hawthorne,novel,1850,American
A Doll’s House,Henrik Ibsen,play,1879  ,Norwegian
The American,Henry James,novel,1877,American
The Portrait of a Lady,Henry James,novel,1881,American
Moby-Dick,Herman Melville,novel,1851,American
Frankenstein,Mary Shelley,novel,1818,English
Anna Karenina,Leo Tolstoy,novel,1877,Russian
Adventures of Huckleberry Finn,Mark Twain,novel,1885,American
My A?ntonia,Willa Cather,novel,1918,American
The Cherry Orchard,Anton Chekhov,play,1904,Russian
Heart of Darkness,Joseph Conrad,novel,1902,Polish-English
Sister Carrie,Theodore Dreiser,novel,1900,American
Murder in the Cathedral,T.S. Eliot,play,1935,American
"Absalom, Absalom!",William Faulkner,novel,1936,American
As I Lay Dying,William Faulkner,novel,1930,American
Light in August,William Faulkner,novel,1932,American
The Sound and the Fury,William Faulkner,novel,1929,American
The Great Gatsby,F. Scott Fitzgerald,novel,1925,American
A Passage to India,E.M. Forster,novel,1924,English
The Little Foxes,Lillian Hellman,play,1939,American
Their Eyes Were Watching God,Zora Neale Hurston,novel,1937,African-American
Brave New World,Aldous Huxley,novel,1931,English
A Portrait of the Artist as a Young Man,James Joyce,novel,1916,Irish
Billy Budd,Herman Melville,novel,1924,American
Major Barbara,George Bernard Shaw,play,1905,Irish
The Grapes of Wrath,John Steinbeck,novel,1939,American
The Age of Innocence,Edith Wharton,novel,1920,American
Ethan Frome,Edith Wharton,novel,1911,American
The House of Mirth,Edith Wharton,novel,1905,American
Mrs. Dalloway,Virginia Woolf,novel,1925,English
Things Fall Apart,Chinua Achebe,novel,1958,Nigerian
Who’s Afraid of Virginia Woolf?,Edward Albee,play,1962,American
Another Country,James Baldwin,novel,1962,African-American
Waiting for Godot,Samuel Beckett,play,1953,Irish
The Plague,Albert Camus,novel,1947,French
Invisible Man,Ralph Ellison,novel,1952,African-American
Lord of the Flies,William Golding,novel,1954,English
A Raisin in the Sun,Lorraine Hansberry,play,1959,African-American
Catch-22,Joseph Heller,novel,1961,American
One Flew Over the Cuckoo’ s Nest,Ken Kesey,novel,1962 ,American
A Separate Peace,John Knowles,novel,1959,American
To Kill a Mockingbird,Harper Lee,novel,1960,American
The Crucible,Arthur Miller,play,1953,American
Death of a Salesman,Arthur Miller,play,1949,American
House Made of Dawn,N. Scott Momaday,novel,1968,Native American
Wise Blood,Flannery O’Connor,novel,1952,American
1984,George Orwell,novel,1949,English
"Cry, the Beloved Country",Alan Paton,novel,1948,South African
All the King’s Men,Robert Penn Warren,novel,1946,American
The Chosen,Chaim Potok,novel,1967,American
Wide Sargasso Sea,Jean Rhys,novel,1966,English
The Catcher in the Rye,JD Salinger,novel,1951,American
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,play,1966,English
Cat’s Cradle,Kurt Vonnegut,novel,1963 ,American
The Glass Menagerie,Tennessee Williams,play,1945,American
A Streetcar Named Desire,Tennessee Williams,play,1947,American
Black Boy,Richard Wright,memoir,1945,African-American
Native Son,Richard Wright,novel,1940,African-American
"Bless Me, Ultima",Rudolfo Anaya,novel,1972,Mexican-American
The House on Mango Street,Sandra Cisneros,novel,1984,Mexican-American
“Master Harold” . . . and the boys,Athol Fugard,play,1982,South African
M. Butterfly,David Henry Hwang,play,1988,Asian-American
A Prayer for Owen Meany,John Irving,novel,1989,American
The Woman Warrior,Maxine Hong Kingston,memoir,1976,Asian-American
Obasan,Joy Kogawa,novel,1981,Asian-Canadian
Beloved,Toni Morrison,novel,1987 ,African-American
The Bluest Eye,Toni Morrison,novel,1970,African-American
Song of Solomon,Toni Morrison,novel,1977 ,African-American
Sula,Toni Morrison,novel,1973,African-American
Jasmine,Bharati Mukherjee,novel,1989,Asian-American
The Women of Brewster Place,Gloria Naylor,novel,1982,African-American
Going After Cacciato,Tim O’Brien,novel,1978,American
Equus,Peter Shaffer,play,1973,English
Ceremony,Leslie Marmon Silko,novel,1977,Native American
Sophie’s Choice,William Styron,novel,1979,American
The Color Purple,Alice Walker,novel,1982,African-American
Fences,August Wilson,play,1983,African-American
The Piano Lesson,August Wilson,play,1987,African-American
Reservation Blues,Sherman Alexie,novel,1995,Native American
The Blind Assassin,Margaret Atwood,novel,2000,Canadian
Oryx and Crake,Margaret Atwood,novel,2003,Canadian
The Memory Keeper’s Daughter,Kim Edwards,novel,2005,American
Cold Mountain,Charles Frazier,novel,1997,American
Snow Falling on Cedars,David Guterson,novel,1994,American
The Kite Runner,Khaled Hosseini,novel,2003,Afghan-American
A Thousand Splendid Suns,Khaled Hosseini,novel,2007,Afghan-American
Never Let Me Go,Kazuo Ishiguro,novel,2005,Japanese-English
The Poisonwood Bible,Barbara Kingsolver,novel,1998,American
The Namesake,Jumpa Lahiri,novel,2004,Asian-American
All the Pretty Horses,Cormac McCarthy,novel,1992,American
Atonement,Ian McEwan,novel,2001,English
Native Speaker,Chang Rae-Lee,novel,1995,Asian-American
The God of Small Things,Arundhati Roy,novel,1997,Indian
A Thousand Acres,Jane Smiley,novel,1991,American
The Bonesetter’s Daughter,Amy Tan,novel,2001,Asian-American
The Story of Edgar Sawtelle,David Wroblewski,novel,2008,American
